date,rank,id,symbol,name,slug,price
2024-Jan-20 21:24:56,7,3408,USDC,USDC,usd-coin,83.12001190428536
2024-Jan-20 21:24:56,8,2010,ADA,Cardano,cardano,42.48423391674309
2024-Jan-20 21:24:56,9,5805,AVAX,Avalanche,avalanche,2706.4734756544303
2024-Jan-20 21:24:56,10,74,DOGE,Dogecoin,dogecoin,6.593113106106607
2024-Jan-20 21:24:56,11,1958,TRX,TRON,tron,9.145833520156717
2024-Jan-20 21:24:56,12,1975,LINK,Chainlink,chainlink,1314.307616538158
2024-Jan-20 21:24:56,13,6636,DOT,Polkadot,polkadot-new,571.209394933993
2024-Jan-20 21:24:56,14,11419,TON,Toncoin,toncoin,185.87734563243905
2024-Jan-20 21:24:56,15,3890,MATIC,Polygon,polygon,64.49477645474515
2024-Jan-20 21:25:58,1,1,BTC,Bitcoin,bitcoin,3453055.959429306
2024-Jan-20 21:25:58,2,1027,ETH,Ethereum,ethereum,204803.2187807935
2024-Jan-20 21:25:58,3,825,USDT,Tether USDt,tether,83.06795975779336
2024-Jan-20 21:25:58,4,1839,BNB,BNB,bnb,26089.991869603553
2024-Jan-20 21:25:58,5,5426,SOL,Solana,solana,7575.099471863546
2024-Jan-20 21:25:58,6,52,XRP,XRP,xrp,45.57221929862514
2024-Jan-20 21:25:58,7,3408,USDC,USDC,usd-coin,83.1235997838394
2024-Jan-20 21:25:58,8,2010,ADA,Cardano,cardano,42.485048620710664
2024-Jan-20 21:25:58,9,5805,AVAX,Avalanche,avalanche,2706.273001095119
2024-Jan-20 21:25:58,10,74,DOGE,Dogecoin,dogecoin,6.588458075747109
2024-Jan-20 21:25:58,11,1958,TRX,TRON,tron,9.145497333928319
2024-Jan-20 21:25:58,12,1975,LINK,Chainlink,chainlink,1314.2258782088566
2024-Jan-20 21:25:58,13,6636,DOT,Polkadot,polkadot-new,571.1182331738348
2024-Jan-20 21:25:58,14,11419,TON,Toncoin,toncoin,185.74498924827535
2024-Jan-20 21:25:58,15,3890,MATIC,Polygon,polygon,64.48937028893229
2024-Jan-20 21:27:02,1,1,BTC,Bitcoin,bitcoin,3452733.18463842
2024-Jan-20 21:27:02,2,1027,ETH,Ethereum,ethereum,204737.8972731137
2024-Jan-20 21:27:02,3,825,USDT,Tether USDt,tether,83.07060535832757
2024-Jan-20 21:27:02,4,1839,BNB,BNB,bnb,26081.109330096446
2024-Jan-20 21:27:02,5,5426,SOL,Solana,solana,7572.627412973086
2024-Jan-20 21:27:02,6,52,XRP,XRP,xrp,45.57630111315442
2024-Jan-20 21:27:02,7,3408,USDC,USDC,usd-coin,83.12685670156174
2024-Jan-20 21:27:02,8,2010,ADA,Cardano,cardano,42.4852734145654
2024-Jan-20 21:27:02,9,5805,AVAX,Avalanche,avalanche,2704.5977656296245
2024-Jan-20 21:27:02,10,74,DOGE,Dogecoin,dogecoin,6.5867869697745896
2024-Jan-20 21:27:02,11,1958,TRX,TRON,tron,9.144553901625573
